代號,名稱,掛牌最高,掛牌最低
11011,台泥一永,108.1,94.4
12101,大成一,127,72.5
12161,統一一,106.75,91.2
12171,愛之味一,123,100
12172,愛之味二,112,89
12173,愛之味三,105,99.6
12181,泰山一,109.9,99
12251,福脂一,233,101
12561,鮮活果汁一KY,104,94.55
12581,其祥一KY,124.25,99.1
12582,其祥二KY,101.3,76.2
13121,國喬一    ,171,90
13161,上曜一,122,99.65
13162,上曜二,177,104
13163,上曜三,117.95,99.6
13164,上曜四,189,99.5
13165,上曜五,232,99.6
13166,上曜六,125.5,102.8
13191,東陽一,115,95.4
13361,台翰一,116,101.1
13371,再生一,120.5,82.95
13381,廣華一KY,117,97.1
13382,廣華二KY,115.5,89
13411,富林一KY,116.9,100.8
13421,八貫一,243,106.5
14093,新纖三,180,77
14321,大魯閣一,119,100.5
14322,大魯閣二,119.1,92.3
14361,華友聯一,695,106
14362,華友聯二,600,111.1
14363,華友聯三,124.25,93.6
14364,華友聯四,104.95,92.5
14371,勤益一,266,92
14381,三地開發一,134,119
14422,名軒二,165,105.55
14423,名軒三,188,105
14571,宜進一,109.8,90
14641,得力一,172,107
14642,得力二,177,103
14661,聚隆一,127,98
14662,聚隆二,147.5,102.75
14663,聚隆三,109,98
14664,聚隆四,116.95,103
14671,南緯一,142.2,101.5
14721,三洋實業一,124.5,99.1
14722,三洋實業二,110.3,103.05
14723,三洋實業三,99.45,94.25
14741,弘裕一,125,100
14742,弘裕二,117,96
14743,弘裕三,99.95,89.5
14771,聚陽一,386,110
14772,聚陽二 ,292,100
14773,聚陽三,495,106.5
14774,聚陽四,401,106.2
15043,東元三,167,99.05
15061,正道一,121,96.95
15131,中興電一,213,101
15132,中興電二,231,106
15141,亞力一,276,103.8
15142,亞力二,139.65,99.45
15151,力山一,131,122
15221,堤維西一,142,92
15241,耿鼎一,195,103.2
15242,耿鼎二,100,100
15243,耿鼎三,127,101
15261,日馳一,104.8,90.1
15281,恩德一,132,78.3
15282,恩德二,149,102
15291,樂士一,179,52.3
15301,亞崴一,115,103
15302,亞崴二,105,98
15321,勤美一,225,123
15322,勤美二,211,102.5
15323,勤美三,338,102
15324,勤美四,184,99.75
15331,車王電一,132,103
15332,車王電二,111,93.5
15351,中宇一,164,104
15361,和大一,231,97.1
15362,和大二,141.5,82.15
15363,和大三,765,693
15364,和大四,130.3,93.9
15371,廣隆一,225,83
15411,錩泰一,129.45,77
15601,中砂一,196,98.7
15661,捷邦一,124.85,94
15691,濱川一,207,92.25
15692,濱川二,182,107
15693,濱川三,162,107
15694,濱川四,136.95,101
15695,濱川五,187,100.2
15696,濱川六,149,95
15821,信錦一,130.8,97.6
15822,信錦二,147,98.5
15823,信錦三,203,101
15831,程泰一,106.8,95.05
15841,精剛一,117.7,93
15842,精剛二,113,100
15861,和勤一,189,100.2
15862,和勤二,127.5,99.5
15863,和勤三,125.25,98.55
15864,和勤四,124,100.05
15865,和勤五,114.5,93.55
15891,永冠一KY,165,100.05
15892,永冠二KY,114,97.5
15893,永冠三KY,116,93.7
15894,永冠四KY,131.1,34.9
15921,英瑞一KY,99.6,26.1
15931,祺驊一,145,102.05
15932,祺驊二,228,105
15951,川寶一,115.5,96
15952,川寶二,192,102
15981,岱宇一,381,100
15982,岱宇二,177,99.6
15983,岱宇三,121,95.1
15984,岱宇四,103.5,90.05
15991,宏佳騰一,109,99.1
16031,華電一,221,100
16062,歌林二,101.5,8.05
16091,大亞一,184,114
16092,大亞二,184,114
16093,大亞三,185,92.2
16094,大亞四,187,98
16095,大亞五,119.5,92.85
16111,中電ㄧ,135,96.4
16112,中電二,102.4,95
16161,億泰一,199,99
16171,榮星一,128.85,99
16172,榮星二,148,102
16173,榮星三,176,94
16181,合機一,377,125
16261,艾美特一KY,101.35,89
16262,艾美特二KY,125.5,99.7
16263,艾美特三KY,111.2,101
16264,艾美特四KY,105.5,90.6
17043,榮化三,106,71.2
17071,葡萄王一,169,98.8
17091,和益一,164,98.5
17121,興農一,142.1,99.6
17151,萬洲一,199,90
17152,萬洲二,149,99.5
17153,萬洲三,103.9,95
17202,生達二,142.85,100
17203,生達三,207,97.65
17271,中華化一,147,97.55
17291,必翔一,145.5,83
17292,必翔二,101.6,85.45
17301,花仙子一,178,103.5
17331,五鼎一,111.8,99.1
17332,五鼎二,128.2,99.5
17333,五鼎三,123,100
17341,杏輝一,172,100.1
17351,日勝化一,594,120
17521,南光一,126.9,99.65
17522,南光二,159,106.25
17811,合世一,268,107
17812,合世二,200,100
17813,合世三,116.95,100.3
17841,訊聯一,143,68.5
17851,光洋科一,435,101.4
17852,光洋科二,297,103
17861,科妍一,117,98.5
17862,科妍二,313,100
17863,科妍三,173,100
17871,福盈一,133.6,100
17872,福盈二,230,101.5
17881,杏昌一,163,103.8
17951,美時一,161,99
17952,美時二,147.2,97
17953,美時三,611,107
17961,金穎生技一,106.3,80
17991,易威一,133,99.6
18051,寶徠一,117,99.75
18061,冠軍一,269,101.2
18062,冠軍二,266,107
18081,潤隆一,165,106.1
18082,潤隆二,156,104
18083,潤隆三,305,105.2
18131,寶利一,128.1,100
18151,富喬一,190,93
18152,富喬二,0,0
18153,富喬三,130.35,99
18154,富喬四,202,96
18155,富喬五,132,96.3
18156,富喬六,765,95.6
19021,台紙一,150,93
19022,台紙二,135,89.05
19023,台紙三,201,107
19093,榮成三,225,93.8
19094,榮成四,118.5,92.2
20062,東和鋼鐵二,199,96.2
20063,東和鋼鐵三,238,104.6
20064,東和鋼鐵四,110.3,81.55
20065,東和鋼鐵五,126.15,99.85
20066,東和鋼鐵六,109.2,99.2
20067,東和鋼鐵七,173,100
20121,春雨一,112.35,97.1
20122,春雨二,112.6,97.3
20123,春雨三,112,97.15
20201,美亞一,136.5,96
20202,美亞二,126.5,76.8
20203,美亞三,161,89.5
20221,聚亨一,202,103.05
20222,聚亨二,195,87.8
20223,聚亨三,128.7,106.85
20224,聚亨四,120.9,99.8
20231,燁輝一,157,98
20271,成鋼一,115,83.85
